,Unnamed: 0,Q out [vol/time],J in [vol/time],C [conc],Storage_vol,C [conc] --> Q out [vol/time]
92,0.92,1.0,1.0,0,0.1,4.80761971041722e-05
93,0.93,1.0,1.0,0,0.1,4.3501145860875647e-05
94,0.94,1.0,1.0,0,0.1,3.936146794452889e-05
95,0.95,1.0,1.0,0,0.1,3.5615732139623006e-05
96,0.96,1.0,1.0,0,0.1,3.222644992886051e-05
97,0.97,1.0,1.0,0,0.1,2.915970029613183e-05
98,0.98,1.0,1.0,0,0.1,2.6384790234024745e-05
99,0.99,1.0,1.0,0,0.1,2.3873947558528776e-05
100,1.0,1.0,1.0,0,0.1,2.1602042956282748e-05
101,1.01,1.0,1.0,0,0.1,1.9546338482192808e-05
102,1.02,1.0,1.0,0,0.1,1.768625999097083e-05
103,1.03,1.0,1.0,0,0.1,1.6003191224406212e-05
104,1.04,1.0,1.0,0,0.1,1.4480287494130167e-05
105,1.05,1.0,1.0,0,0.1,1.3102307094420183e-05
106,1.06,1.0,1.0,0,0.1,1.1855458758375325e-05
107,1.07,1.0,1.0,0,0.1,1.072726363066507e-05
108,1.08,1.0,1.0,0,0.1,9.706430374994086e-06
109,1.09,1.0,1.0,0,0.1,8.782742166902675e-06
110,1.1,1.0,1.0,0,0.1,7.946954440576323e-06
111,1.11,1.0,1.0,0,0.1,7.190702366121975e-06
112,1.12,1.0,1.0,0,0.1,6.506417131782838e-06
113,1.13,1.0,1.0,0,0.1,5.887250193058325e-06
114,1.14,1.0,1.0,0,0.1,5.327004729854697e-06
115,1.15,1.0,1.0,0,0.1,4.820073627149094e-06
116,1.16,1.0,1.0,0,0.1,4.361383356923964e-06
117,1.17,1.0,1.0,0,0.1,3.946343200848021e-06
118,1.18,1.0,1.0,0,0.1,3.5707993048052147e-06
119,1.19,1.0,1.0,0,0.1,3.230993105824437e-06
120,1.2,1.0,1.0,0,0.1,2.9235237152428263e-06
121,1.21,1.0,1.0,0,0.1,2.6453138813854938e-06
122,1.22,1.0,1.0,0,0.1,2.393579191644835e-06
123,1.23,1.0,1.0,0,0.1,2.165800205049116e-06
124,1.24,1.0,1.0,0,0.1,1.959697236904139e-06
125,1.25,1.0,1.0,0,0.1,1.7732075430525272e-06
126,1.26,1.0,1.0,0,0.1,1.6044646752204549e-06
127,1.27,1.0,1.0,0,0.1,1.4517798010336032e-06
128,1.28,1.0,1.0,0,0.1,1.3136248015927533e-06
