,Upstream conc. [mg/L],Downstream conc. [mg/L]
2016-08-01 15:13:34,10.964467005076143,
2016-08-01 15:13:35,10.964467005076143,
2016-08-01 15:13:36,10.964467005076143,
2016-08-01 15:13:37,10.964467005076143,
2016-08-01 15:13:38,10.964467005076143,
2016-08-01 15:13:39,10.964467005076143,
2016-08-01 15:13:40,10.964467005076143,
2016-08-01 15:13:41,10.964467005076143,
2016-08-01 15:13:42,10.964467005076143,
2016-08-01 15:13:43,10.964467005076143,
2016-08-01 15:13:44,10.964467005076143,
2016-08-01 15:13:45,10.964467005076143,
2016-08-01 15:13:46,10.964467005076143,
2016-08-01 15:13:47,10.964467005076143,
2016-08-01 15:13:48,10.964467005076143,
2016-08-01 15:13:49,10.964467005076143,
2016-08-01 15:13:50,10.964467005076143,
2016-08-01 15:13:51,11.472081218274113,
2016-08-01 15:13:52,11.472081218274113,
2016-08-01 15:13:53,11.472081218274113,
2016-08-01 15:13:54,11.472081218274113,
2016-08-01 15:13:55,12.030456852791877,
2016-08-01 15:13:56,12.335025380710661,
2016-08-01 15:13:57,13.147208121827411,
2016-08-01 15:13:58,13.705583756345177,
2016-08-01 15:13:59,13.654822335025381,
2016-08-01 15:14:00,13.959390862944163,
2016-08-01 15:14:01,15.32994923857868,
2016-08-01 15:14:02,17.512690355329948,
2016-08-01 15:14:03,17.512690355329948,
2016-08-01 15:14:04,19.187817258883246,
2016-08-01 15:14:05,21.624365482233504,
2016-08-01 15:14:06,25.78680203045685,
2016-08-01 15:14:07,24.92385786802031,
2016-08-01 15:14:08,31.52284263959391,
2016-08-01 15:14:09,31.52284263959391,
2016-08-01 15:14:10,30.456852791878173,
2016-08-01 15:14:11,37.00507614213198,
2016-08-01 15:14:12,41.97969543147208,
2016-08-01 15:14:13,51.37055837563452,
2016-08-01 15:14:14,49.13705583756345,
2016-08-01 15:14:15,59.08629441624366,
2016-08-01 15:14:16,57.15736040609138,
2016-08-01 15:14:17,61.01522842639594,
2016-08-01 15:14:18,61.82741116751269,
2016-08-01 15:14:19,63.756345177664976,
2016-08-01 15:14:20,72.58883248730965,
2016-08-01 15:14:21,75.1269035532995,
2016-08-01 15:14:22,76.75126903553297,
2016-08-01 15:14:23,87.56345177664974,
2016-08-01 15:14:24,94.21319796954315,
2016-08-01 15:14:25,94.51776649746192,
2016-08-01 15:14:26,100.86294416243655,
2016-08-01 15:14:27,110.0507614213198,
2016-08-01 15:14:28,116.44670050761422,
2016-08-01 15:14:29,123.09644670050758,
2016-08-01 15:14:30,123.65482233502539,
2016-08-01 15:14:31,125.88832487309645,
2016-08-01 15:14:32,148.2233502538071,
2016-08-01 15:14:33,142.63959390862945,
2016-08-01 15:14:34,151.31979695431474,
2016-08-01 15:14:35,157.46192893401016,
2016-08-01 15:14:36,162.2335025380711,
2016-08-01 15:14:37,155.7868020304568,
2016-08-01 15:14:38,167.81725888324874,
2016-08-01 15:14:39,175.07614213197965,
2016-08-01 15:14:40,175.07614213197965,
2016-08-01 15:14:41,178.4771573604061,
2016-08-01 15:14:42,181.26903553299496,
2016-08-01 15:14:43,183.80710659898477,
2016-08-01 15:14:44,194.2131979695432,
2016-08-01 15:14:45,199.23857868020306,
2016-08-01 15:14:46,199.79695431472084,
2016-08-01 15:14:47,208.5279187817259,
2016-08-01 15:14:48,206.5482233502538,
2016-08-01 15:14:49,215.83756345177665,
2016-08-01 15:14:50,223.19796954314717,
2016-08-01 15:14:51,222.33502538071068,
2016-08-01 15:14:52,220.35532994923858,
2016-08-01 15:14:53,215.83756345177665,
2016-08-01 15:14:54,219.54314720812184,
2016-08-01 15:14:55,218.1218274111675,
2016-08-01 15:14:56,229.39086294416245,
2016-08-01 15:14:57,230.25380710659903,
2016-08-01 15:14:58,233.90862944162438,
2016-08-01 15:14:59,236.8020304568528,
2016-08-01 15:15:00,246.6497461928934,
2016-08-01 15:15:01,246.09137055837564,
2016-08-01 15:15:02,249.84771573604056,
2016-08-01 15:15:03,241.62436548223351,
2016-08-01 15:15:04,248.68020304568526,
2016-08-01 15:15:05,247.56345177664974,
2016-08-01 15:15:06,248.12182741116752,
2016-08-01 15:15:07,250.05076142131983,
2016-08-01 15:15:08,254.2639593908629,
2016-08-01 15:15:09,254.36548223350255,
2016-08-01 15:15:10,251.5228426395939,
2016-08-01 15:15:11,252.89340101522842,
2016-08-01 15:15:12,255.12690355329946,
2016-08-01 15:15:13,253.248730964467,
2016-08-01 15:15:14,249.2893401015229,
2016-08-01 15:15:15,254.67005076142132,
2016-08-01 15:15:16,250.96446700507613,
2016-08-01 15:15:17,255.12690355329946,
2016-08-01 15:15:18,252.0812182741117,
2016-08-01 15:15:19,259.18781725888323,
2016-08-01 15:15:20,259.39086294416245,
2016-08-01 15:15:21,254.87309644670052,
2016-08-01 15:15:22,258.3248730964467,
2016-08-01 15:15:23,260.6091370558376,
2016-08-01 15:15:24,257.76649746192896,
2016-08-01 15:15:25,254.36548223350255,
2016-08-01 15:15:26,254.2639593908629,
2016-08-01 15:15:27,258.5279187817259,
2016-08-01 15:15:28,255.43147208121826,
2016-08-01 15:15:29,258.5279187817259,
2016-08-01 15:15:30,257.96954314720807,
2016-08-01 15:15:31,252.38578680203045,
2016-08-01 15:15:32,253.248730964467,
2016-08-01 15:15:33,252.03045685279187,
2016-08-01 15:15:34,254.92385786802035,
2016-08-01 15:15:35,252.38578680203045,
2016-08-01 15:15:36,251.47208121827407,
2016-08-01 15:15:37,253.80710659898477,
2016-08-01 15:15:38,252.6395939086294,
2016-08-01 15:15:39,250.40609137055839,
2016-08-01 15:15:40,256.6497461928934,
2016-08-01 15:15:41,262.79187817258884,
2016-08-01 15:15:42,249.84771573604056,
2016-08-01 15:15:43,250.8629441624366,
2016-08-01 15:15:44,250.10152284263958,
2016-08-01 15:15:45,248.3248730964467,
2016-08-01 15:15:46,251.47208121827407,
2016-08-01 15:15:47,250.05076142131983,
2016-08-01 15:15:48,249.84771573604056,
2016-08-01 15:15:49,246.44670050761422,
2016-08-01 15:15:50,247.86802030456855,
2016-08-01 15:15:51,246.6497461928934,
2016-08-01 15:15:52,251.16751269035535,
2016-08-01 15:15:53,248.0710659898477,
2016-08-01 15:15:54,247.51269035532997,
2016-08-01 15:15:55,254.2639593908629,
2016-08-01 15:15:56,247.56345177664974,
2016-08-01 15:15:57,246.7005076142132,
2016-08-01 15:15:58,249.2893401015229,
2016-08-01 15:15:59,246.1421319796954,
2016-08-01 15:16:00,255.7868020304569,
2016-08-01 15:16:01,255.2284263959391,
2016-08-01 15:16:02,249.74619289340103,
2016-08-01 15:16:03,252.03045685279187,
2016-08-01 15:16:04,246.44670050761422,
2016-08-01 15:16:05,248.88324873096448,
2016-08-01 15:16:06,254.01015228426394,
2016-08-01 15:16:07,249.2893401015229,
2016-08-01 15:16:08,251.8274111675127,
2016-08-01 15:16:09,252.03045685279187,
2016-08-01 15:16:10,249.74619289340103,
2016-08-01 15:16:11,247.30964467005077,
2016-08-01 15:16:12,251.87817258883243,
2016-08-01 15:16:13,252.0812182741117,
2016-08-01 15:16:14,246.6497461928934,
2016-08-01 15:16:15,248.62944162436543,
2016-08-01 15:16:16,248.42639593908635,
2016-08-01 15:16:17,247.51269035532997,
2016-08-01 15:16:18,246.9035532994924,
2016-08-01 15:16:19,247.76649746192888,
2016-08-01 15:16:20,245.53299492385787,
2016-08-01 15:16:21,245.2284263959391,
2016-08-01 15:16:22,245.78680203045684,
2016-08-01 15:16:23,247.20812182741122,
2016-08-01 15:16:24,245.2284263959391,
