date [yyyy-mm-dd]	J [mm/d]	Q [mm/d]	ET [mm/d]
2015-02-28	0.34	0.34	0.99
2015-03-01	3.99	0.42	1.15
2015-03-02	1.53	0.49	1.20
2015-03-03	2.96	0.49	1.22
2015-03-04	1.97	0.49	1.00
2015-03-05	0.01	0.45	0.90
2015-03-06	0.00	0.40	0.82
2015-03-07	0.00	0.35	1.35
2015-03-08	0.01	0.32	1.54
2015-03-09	0.02	0.29	1.39
2015-03-10	0.80	0.27	1.44
2015-03-11	0.00	0.25	1.03
2015-03-12	0.01	0.23	0.81
2015-03-13	0.30	0.21	0.77
2015-03-14	4.32	0.22	0.79
2015-03-15	0.30	0.24	0.88
2015-03-16	0.01	0.23	1.58
2015-03-17	0.00	0.21	1.78
2015-03-18	0.00	0.20	1.78
2015-03-19	0.00	0.18	1.65
2015-03-20	0.00	0.17	1.61
2015-03-21	3.26	0.16	1.54
2015-03-22	0.04	0.16	1.14
2015-03-23	0.00	0.15	1.69
2015-03-24	0.00	0.14	1.33
2015-03-25	0.01	0.13	2.07
2015-03-26	0.79	0.12	1.10
2015-03-27	1.20	0.12	1.25
2015-03-28	1.99	0.11	1.91
2015-03-29	18.21	0.61	1.94
2015-03-30	13.61	1.47	1.82
2015-03-31	9.70	1.86	2.30
2015-04-01	12.92	2.10	1.65
2015-04-02	5.17	2.03	1.35
2015-04-03	0.03	1.68	1.79
2015-04-04	0.04	1.34	1.62
2015-04-05	0.08	1.09	1.68
2015-04-06	0.01	0.92	1.67
2015-04-07	0.01	0.80	2.18
2015-04-08	0.00	0.71	1.76
2015-04-09	0.00	0.64	2.44
2015-04-10	0.00	0.58	3.02
2015-04-11	0.26	0.54	2.90
2015-04-12	0.23	0.50	2.49
2015-04-13	0.02	0.46	2.12
2015-04-14	0.00	0.43	2.81
2015-04-15	0.00	0.40	3.21
2015-04-16	0.00	0.37	2.06
2015-04-17	0.00	0.35	1.60
2015-04-18	0.00	0.32	1.85
2015-04-19	0.00	0.30	2.42
2015-04-20	0.00	0.28	2.75
2015-04-21	0.00	0.26	3.08
2015-04-22	0.73	0.25	1.97
2015-04-23	0.00	0.23	2.72
2015-04-24	0.00	0.22	2.91
2015-04-25	0.31	0.20	2.69
2015-04-26	3.95	0.19	3.48
2015-04-27	3.64	0.18	3.04
2015-04-28	0.05	0.17	2.52
2015-04-29	0.06	0.16	2.37
2015-04-30	8.19	0.16	3.81
2015-05-01	0.00	0.17	2.74
2015-05-02	0.00	0.16	2.36
2015-05-03	4.34	0.15	3.82
2015-05-04	0.20	0.14	3.31
2015-05-05	0.03	0.13	3.28
2015-05-06	0.35	0.12	2.63
2015-05-07	0.00	0.11	2.26
2015-05-08	0.01	0.11	2.72
2015-05-09	0.83	0.10	2.70
2015-05-10	0.00	0.09	2.30
2015-05-11	0.00	0.09	2.97
2015-05-12	6.03	0.08	5.65
